case,body,trailer,make,model,modelyr
103,14,0,59,401,1999
103,4,0,35,47,2005
103,4,0,20,22,2007
104,4,0,37,32,1997
105,34,0,20,473,2012
106,4,0,55,35,2018
106,5,0,49,46,2008
107,34,0,49,471,1992
108,4,0,37,31,1992
108,5,0,20,26,2012
109,14,0,42,401,2015
110,4,0,41,50,2004
111,80,0,37,706,2006
112,34,0,12,481,2004
113,4,0,20,34,1995
114,5,0,49,52,2008
115,2,0,37,32,2004
115,14,0,37,402,2017
116,14,0,48,401,2010
117,49,0,99,999,9999
118,3,0,54,38,2002
119,4,0,37,32,2003
119,14,0,55,401,2013
119,34,0,12,481,2013
120,99,0,99,999,9999
120,98,0,97,997,9998
121,6,0,49,46,2017
121,50,0,90,981,2012
122,4,0,18,20,1999
123,62,1,52,882,2000
124,4,0,35,43,2005
124,6,0,7,21,2007
124,21,0,20,461,1999
125,80,0,73,705,2007
125,34,0,49,482,2013
126,4,0,20,25,2013
126,80,0,72,706,2006
127,66,2,85,881,2005
128,80,0,73,706,2003
129,34,0,35,471,1994
130,80,0,73,705,2016
131,4,0,7,43,2002
131,4,0,21,23,1999
132,3,0,37,31,1998
133,80,0,34,706,2017
134,80,0,53,706,2007
135,4,0,37,32,2016
135,66,1,82,881,2012
136,34,0,7,482,2013
136,80,0,72,706,2017
137,80,0,72,706,2018
137,80,0,72,706,2006
138,2,0,54,37,1998
139,80,0,72,706,2011
139,34,0,35,472,2006
140,34,0,12,481,2013
140,66,1,87,884,2018
141,34,0,7,482,2001
142,49,0,98,999,1979
143,4,0,49,40,2014
144,4,0,37,32,2008
145,6,0,12,24,2008
146,80,0,71,706,2013
146,14,0,48,401,2005
146,4,0,30,40,2006
147,34,0,23,481,2010
147,63,0,85,881,2017
147,14,0,23,401,2005
147,34,0,12,471,2005
147,4,0,55,35,2018
147,4,0,41,50,2017
148,80,0,77,706,2014
149,4,0,34,35,2000
150,2,0,37,31,1999
151,5,0,7,25,2007
151,3,0,12,13,1994
152,34,1,7,482,2002
152,80,0,37,706,2008
153,66,1,87,884,2012
153,14,0,37,402,2014
154,80,0,76,706,2002
155,4,0,20,2,2004
156,4,0,37,31,1998
157,34,0,12,481,2012
157,6,0,12,24,2008
158,15,0,23,421,2003
159,1,0,34,47,2015
160,2,0,19,18,2011
161,4,0,20,32,2002
161,14,0,12,401,2015
162,34,0,7,482,2017
162,4,0,35,39,2009
162,5,0,49,46,2015
163,2,0,37,31,1997
165,4,0,35,47,2015
165,2,0,12,3,2017
166,14,0,49,403,2001
166,14,0,12,401,1991
167,4,0,49,40,2000
167,5,0,49,46,2013
168,34,0,20,481,1997
169,4,0,37,31,1995
170,4,0,12,13,1997
170,4,0,34,34,2001
170,20,0,37,441,2000
171,21,0,35,461,2017
172,8,0,48,38,2014
172,15,0,20,421,2013
173,14,0,3,402,2006
174,14,0,48,403,2018
